frame   ulx     uly     urx     ury     lrx     lry     llx     lly     
frame00001.jpg	104.00	59.00	160.00	57.00	165.00	128.00	109.00	131.00	
frame00002.jpg	104.05	58.80	160.14	56.85	165.13	127.85	109.08	130.83	
frame00003.jpg	104.23	58.65	160.42	56.52	165.40	127.80	109.32	130.92	
frame00004.jpg	104.14	58.66	160.43	56.16	165.78	127.69	109.72	131.21	
frame00005.jpg	103.96	58.86	160.27	55.84	166.16	127.54	110.09	131.56	
frame00006.jpg	103.77	58.99	160.10	55.57	166.41	127.45	110.32	131.89	
frame00007.jpg	103.66	59.12	159.99	55.41	166.73	127.37	110.57	132.12	
frame00008.jpg	103.62	59.17	159.94	55.26	166.99	127.30	110.80	132.23	
frame00009.jpg	103.68	59.12	160.11	55.15	167.12	127.33	110.84	132.27	
frame00010.jpg	103.82	58.88	160.33	55.13	167.15	127.36	110.87	132.23	
frame00011.jpg	103.95	58.58	160.63	55.01	167.11	127.33	110.76	131.97	
frame00012.jpg	104.12	58.30	160.85	54.95	167.10	127.34	110.62	131.71	
frame00013.jpg	104.14	58.08	160.98	54.91	167.10	127.37	110.52	131.60	
frame00014.jpg	104.07	58.02	161.01	54.91	167.03	127.42	110.38	131.60	
frame00015.jpg	104.02	58.05	160.98	54.91	166.96	127.48	110.26	131.65	
frame00016.jpg	103.90	58.09	160.85	54.94	166.77	127.59	109.97	131.71	
frame00017.jpg	103.74	58.04	160.80	54.95	166.56	127.72	109.75	131.66	
frame00018.jpg	103.51	58.05	160.67	54.98	166.40	127.76	109.51	131.70	
frame00019.jpg	103.30	58.05	160.51	54.95	166.25	127.72	109.32	131.66	
frame00020.jpg	103.22	57.95	160.52	54.97	166.02	127.80	108.97	131.59	
frame00021.jpg	103.09	57.78	160.41	55.00	165.83	127.82	108.70	131.49	
frame00022.jpg	102.91	57.66	160.28	54.81	165.77	127.75	108.66	131.48	
frame00023.jpg	102.72	57.59	160.17	54.70	165.66	127.73	108.48	131.52	
frame00024.jpg	102.47	57.48	160.02	54.59	165.48	127.80	108.22	131.64	
frame00025.jpg	102.23	57.50	159.83	54.55	165.37	127.83	108.06	131.72	
frame00026.jpg	101.90	57.52	159.63	54.52	165.17	127.82	107.78	131.76	
frame00027.jpg	101.65	57.52	159.38	54.51	165.00	127.94	107.53	131.88	
frame00028.jpg	101.57	57.47	159.40	54.48	164.93	128.00	107.36	131.89	
